Java HotSpot(TM) 64-Bit Server VM (25.121-b13) for windows-amd64 JRE (1.8.0_121-b13), built on Dec 12 2016 18:21:36 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 8036564k(1701328k free), swap 13829772k(2261584k free)
CommandLine flags: -XX:InitialHeapSize=536870912 -XX:InitialTenuringThreshold=1 -XX:MaxHeapSize=536870912 -XX:MaxNewSize=1048576 -XX:MaxTenuringThreshold=1 -XX:NewSize=1048576 -XX:PretenureSizeThreshold=50 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseSerialGC 
1.358: [GC (Allocation Failure) 1.358: [DefNew: 959K->63K(960K), 0.0008827 secs] 6716K->5874K(524224K), 0.0009869 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.375: [GC (Allocation Failure) 1.375: [DefNew: 959K->64K(960K), 0.0008515 secs] 6774K->5958K(524224K), 0.0009281 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.391: [GC (Allocation Failure) 1.391: [DefNew: 960K->63K(960K), 0.0010228 secs] 6870K->6015K(524224K), 0.0011649 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.410: [GC (Allocation Failure) 1.410: [DefNew: 959K->63K(960K), 0.0010058 secs] 6945K->6126K(524224K), 0.0011180 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.429: [GC (Allocation Failure) 1.429: [DefNew: 959K->63K(960K), 0.0013363 secs] 7075K->6242K(524224K), 0.0014748 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.455: [GC (Allocation Failure) 1.456: [DefNew: 959K->63K(960K), 0.0016442 secs] 7222K->6414K(524224K), 0.0017760 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.470: [GC (Allocation Failure) 1.470: [DefNew: 959K->64K(960K), 0.0009739 secs] 7362K->6529K(524224K), 0.0010883 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.479: [GC (Allocation Failure) 1.480: [DefNew: 960K->14K(960K), 0.0007042 secs] 7436K->6517K(524224K), 0.0007864 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.489: [GC (Allocation Failure) 1.489: [DefNew: 910K->63K(960K), 0.0007627 secs] 7420K->6605K(524224K), 0.0008625 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.514: [GC (Allocation Failure) 1.514: [DefNew: 959K->64K(960K), 0.0009368 secs] 7559K->6735K(524224K), 0.0010299 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.528: [GC (Allocation Failure) 1.528: [DefNew: 960K->64K(960K), 0.0011594 secs] 7838K->7026K(524224K), 0.0012818 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.540: [GC (Allocation Failure) 1.540: [DefNew: 960K->63K(960K), 0.0010670 secs] 7937K->7099K(524224K), 0.0011934 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.567: [GC (Allocation Failure) 1.567: [DefNew: 959K->61K(960K), 0.0009447 secs] 8132K->7254K(524224K), 0.0010587 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.579: [GC (Allocation Failure) 1.580: [DefNew: 957K->63K(960K), 0.0007840 secs] 8169K->7312K(524224K), 0.0008752 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.595: [GC (Allocation Failure) 1.595: [DefNew: 959K->64K(960K), 0.0007966 secs] 8252K->7421K(524224K), 0.0008839 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.611: [GC (Allocation Failure) 1.611: [DefNew: 960K->64K(960K), 0.0008681 secs] 8318K->7526K(524224K), 0.0009719 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.624: [GC (Allocation Failure) 1.624: [DefNew: 960K->25K(960K), 0.0007745 secs] 8424K->7512K(524224K), 0.0008645 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.631: [GC (Allocation Failure) 1.631: [DefNew: 921K->4K(960K), 0.0006648 secs] 8408K->7508K(524224K), 0.0007544 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
1.643: [GC (Allocation Failure) 1.643: [DefNew: 900K->25K(960K), 0.0009979 secs] 8406K->7534K(524224K), 0.0011314 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.684: [GC (Allocation Failure) 1.684: [DefNew: 921K->63K(960K), 0.0016477 secs] 8495K->7697K(524224K), 0.0018108 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.708: [GC (Allocation Failure) 1.708: [DefNew: 959K->64K(960K), 0.0020926 secs] 8594K->7880K(524224K), 0.0022703 secs] [Times: user=0.05 sys=0.00, real=0.00 secs] 
1.773: [GC (Allocation Failure) 1.773: [DefNew: 960K->64K(960K), 0.0018463 secs] 8784K->7990K(524224K), 0.0020062 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.797: [GC (Allocation Failure) 1.798: [DefNew: 960K->64K(960K), 0.0017756 secs] 8886K->8087K(524224K), 0.0019623 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.830: [GC (Allocation Failure) 1.830: [DefNew: 960K->63K(960K), 0.0014835 secs] 8984K->8203K(524224K), 0.0016379 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.866: [GC (Allocation Failure) 1.866: [DefNew: 959K->63K(960K), 0.0012056 secs] 9099K->8305K(524224K), 0.0013509 secs] [Times: user=0.05 sys=0.00, real=0.00 secs] 
1.904: [GC (Allocation Failure) 1.904: [DefNew: 959K->64K(960K), 0.0013528 secs] 9211K->8391K(524224K), 0.0015088 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.928: [GC (Allocation Failure) 1.928: [DefNew: 960K->63K(960K), 0.0013982 secs] 9290K->8450K(524224K), 0.0015522 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
1.945: [GC (Allocation Failure) 1.945: [DefNew: 959K->63K(960K), 0.0011764 secs] 9349K->8510K(524224K), 0.0012849 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.960: [GC (Allocation Failure) 1.960: [DefNew: 959K->63K(960K), 0.0016047 secs] 9422K->8838K(524224K), 0.0017421 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.987: [GC (Allocation Failure) 1.987: [DefNew: 959K->63K(960K), 0.0014496 secs] 9736K->8941K(524224K), 0.0016011 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.002: [GC (Allocation Failure) 2.002: [DefNew: 959K->63K(960K), 0.0013631 secs] 9874K->9123K(524224K), 0.0015107 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.020: [GC (Allocation Failure) 2.020: [DefNew: 959K->63K(960K), 0.0013497 secs] 10036K->9252K(524224K), 0.0015368 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.033: [GC (Allocation Failure) 2.033: [DefNew: 959K->63K(960K), 0.0013465 secs] 10166K->9399K(524224K), 0.0014894 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.049: [GC (Allocation Failure) 2.049: [DefNew: 959K->64K(960K), 0.0013860 secs] 10345K->9582K(524224K), 0.0015202 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.066: [GC (Allocation Failure) 2.066: [DefNew: 960K->63K(960K), 0.0013165 secs] 10538K->9702K(524224K), 0.0014661 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.080: [GC (Allocation Failure) 2.080: [DefNew: 959K->63K(960K), 0.0012415 secs] 10605K->9761K(524224K), 0.0014022 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.093: [GC (Allocation Failure) 2.093: [DefNew: 959K->63K(960K), 0.0014243 secs] 10724K->9926K(524224K), 0.0015826 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.117: [GC (GCLocker Initiated GC) 2.117: [DefNew: 959K->63K(960K), 0.0014061 secs] 10828K->10097K(524224K), 0.0015715 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.130: [GC (Allocation Failure) 2.130: [DefNew: 959K->63K(960K), 0.0013295 secs] 11008K->10199K(524224K), 0.0014760 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.141: [GC (Allocation Failure) 2.141: [DefNew: 959K->63K(960K), 0.0012684 secs] 11106K->10287K(524224K), 0.0015569 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.157: [GC (Allocation Failure) 2.157: [DefNew: 959K->63K(960K), 0.0013481 secs] 11207K->10393K(524224K), 0.0014934 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.178: [GC (Allocation Failure) 2.178: [DefNew: 959K->64K(960K), 0.0010702 secs] 11310K->10586K(524224K), 0.0011724 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2.186: [GC (Allocation Failure) 2.186: [DefNew: 960K->63K(960K), 0.0009443 secs] 11499K->10754K(524224K), 0.0010358 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.194: [GC (Allocation Failure) 2.194: [DefNew: 959K->63K(960K), 0.0010572 secs] 11669K->10875K(524224K), 0.0011444 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2.204: [GC (Allocation Failure) 2.204: [DefNew: 959K->63K(960K), 0.0009751 secs] 11789K->11044K(524224K), 0.0010655 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.218: [GC (Allocation Failure) 2.218: [DefNew: 959K->63K(960K), 0.0011728 secs] 11950K->11166K(524224K), 0.0012909 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.227: [GC (Allocation Failure) 2.227: [DefNew: 959K->63K(960K), 0.0013592 secs] 12065K->11218K(524224K), 0.0014752 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.235: [GC (Allocation Failure) 2.235: [DefNew: 959K->63K(960K), 0.0010208 secs] 12132K->11289K(524224K), 0.0011136 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.249: [GC (Allocation Failure) 2.249: [DefNew: 959K->64K(960K), 0.0017109 secs] 12202K->11505K(524224K), 0.0018447 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
